Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,io.jhdf.benchmarks,MemoryMapBenchmark,2,1,4,4,30,4,0,0,0.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\jmh\java\io\jhdf\benchmarks\MemoryMapBenchmark.java,38
.,io.jhdf,AbstractNode,8,0,15,13,100,15,2,0,0.2,0,6,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\AbstractNode.java,37
.,io.jhdf,AbstractNode.AttributesLazyInitializer,1,0,0,0,26,0,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\AbstractNode.java,40
.,io.jhdf,AttributeImpl,5,0,11,11,56,14,0,0,0.0,0,5,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\AttributeImpl.java,25
.,io.jhdf,CommittedDatatype,0,0,3,3,16,3,0,1,-1.0,2,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\CommittedDatatype.java,20
.,io.jhdf,Constants,4,4,1,0,16,1,0,0,0.0,19,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\Constants.java,12
.,io.jhdf,FractalHeap,38,0,22,21,0,38,0,0,0.0,1,5,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\FractalHeap.java,41
.,io.jhdf,FractalHeap.IndirectBlock,1,0,0,0,44,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\FractalHeap.java,247
.,io.jhdf,FractalHeap.DirectBlock,4,0,0,0,41,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\FractalHeap.java,310
.,io.jhdf,GlobalHeap,7,0,4,4,82,10,0,0,0.0,2,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\GlobalHeap.java,25
