Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,io.jhdf.object.message,DataLayoutMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,DataLayoutMessage.CompactDataLayoutMessage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: dataBuffer
.,io.jhdf.object.message,DataLayoutMessage.CompactDataLayoutMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,DataLayoutMessage.ContiguousDataLayoutMessage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: address; size
.,io.jhdf.object.message,DataLayoutMessage.ContiguousDataLayoutMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,DataLayoutMessage.ChunkedDataLayoutMessage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: bTreeAddress; size; chunkDimensions
.,io.jhdf.object.message,DataLayoutMessage.ChunkedDataLayoutMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,DataLayoutMessage.ChunkedDataLayoutMessageV4,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,DataLayoutMessage.ChunkedDataLayoutMessageV4,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DONT_FILTER_PARTIAL_BOUND_CHUNKS; SINGLE_INDEX_WITH_FILTER; address; indexingType; chunkDimensions; pageBits; maxBits; indexElements; minPointers; minElements; nodeSize; splitPercent; mergePercent; isFilteredSingleChunk; sizeOfFilteredSingleChunk; filterMaskFilteredSingleChunk
.,io.jhdf.object.message,DataSpaceMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,DataTypeMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,FillValueMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,FillValueOldMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,FilterPipelineMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,FilterPipelineMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,FilterPipelineMessage.FilterInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; optional; data
.,io.jhdf.object.message,FilterPipelineMessage.FilterInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,GroupInfoMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,GroupInfoMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,LinkInfoMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,LinkMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,LinkMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,LinkMessage.LinkType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.jhdf.object.message,LinkMessage.LinkType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,Message,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: DataLayoutMessage
.,io.jhdf.object.message,Message,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AttributeInfoMessage; AttributeMessage; BTreeKValuesMessage; DataLayoutMessage; DataSpaceMessage; DataTypeMessage; FillValueMessage; FillValueOldMessage; FilterPipelineMessage; GroupInfoMessage; LinkInfoMessage; LinkMessage; NilMessage; ObjectCommentMessage; ObjectHeaderContinuationMessage; ObjectModificationTimeMessage; ObjectReferenceCountMessage; OldObjectModificationTimeMessage; SymbolTableMessage
.,io.jhdf.object.message,NilMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,ObjectCommentMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,ObjectHeaderContinuationMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,ObjectHeaderContinuationMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,ObjectModificationTimeMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,ObjectReferenceCountMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,ObjectReferenceCountMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,OldObjectModificationTimeMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,OldObjectModificationTimeMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.object.message,SymbolTableMessage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.object.message,SymbolTableMessage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Message
.,io.jhdf.storage,HdfInMemoryByteBuffer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.jhdf.nio,NioPathTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
